age,education,housing,contact,month,duration,campaign,pdays,previous,poutcome
59,1,1,2,8,1042,1,-1,0,3
56,1,0,2,8,1467,1,-1,0,3
41,1,1,2,8,1389,1,-1,0,3
55,1,1,2,8,579,1,-1,0,3
54,2,0,2,8,673,2,-1,0,3
42,2,1,2,8,562,2,-1,0,3
56,2,1,2,8,1201,1,-1,0,3
60,1,1,2,8,1030,1,-1,0,3
37,1,1,2,8,608,1,-1,0,3
28,1,1,2,8,1297,3,-1,0,3
38,1,1,2,8,786,1,-1,0,3
30,1,1,2,8,1574,2,-1,0,3
29,2,1,2,8,1689,4,-1,0,3
46,2,1,2,8,1102,2,-1,0,3
31,2,1,2,8,943,2,-1,0,3
35,2,1,2,8,1084,1,-1,0,3
32,0,1,2,8,541,3,-1,0,3
49,1,1,2,8,1119,1,-1,0,3
41,1,1,2,8,1120,2,-1,0,3
49,1,1,2,8,513,1,-1,0,3
28,1,1,2,8,442,2,-1,0,3
43,2,1,2,8,756,1,-1,0,3
43,2,1,2,8,2087,2,-1,0,3
43,0,1,2,8,1120,2,-1,0,3
37,1,1,2,8,985,2,-1,0,3
35,1,1,2,8,617,4,-1,0,3
31,2,1,2,8,483,3,-1,0,3
43,1,1,2,8,929,3,-1,0,3
31,1,1,2,8,538,1,-1,0,3
28,1,1,2,8,710,1,-1,0,3
32,1,1,2,8,653,1,-1,0,3
60,0,1,2,8,1028,2,-1,0,3
26,1,1,2,8,654,1,-1,0,3
40,1,1,2,8,1692,2,-1,0,3
33,0,1,2,8,665,2,-1,0,3
32,2,0,2,8,757,2,-1,0,3
35,0,0,2,8,504,4,-1,0,3
33,1,1,2,8,1346,1,-1,0,3
38,2,1,2,8,568,4,-1,0,3
23,0,1,2,8,395,2,-1,0,3
60,0,1,2,8,1015,1,-1,0,3
48,2,1,2,8,683,2,-1,0,3
45,2,1,2,8,470,1,-1,0,3
36,1,1,2,8,1001,4,-1,0,3
52,3,1,2,8,845,1,-1,0,3
35,0,1,2,8,945,2,-1,0,3
43,1,1,2,8,1721,2,-1,0,3
52,1,1,2,8,942,3,-1,0,3
53,0,1,2,8,476,1,-1,0,3
48,0,1,2,8,832,1,-1,0,3
41,0,1,2,8,1553,1,-1,0,3
39,2,1,2,8,1328,1,-1,0,3
59,1,1,2,8,1125,2,-1,0,3
41,1,1,2,8,858,1,-1,0,3
48,1,1,2,8,629,2,-1,0,3
40,1,1,2,8,704,1,-1,0,3
